,diarization error rate,total,correct,correct,false alarm,false alarm,missed detection,missed detection,confusion,confusion
,%,,,%,,%,,%,,%
item,,,,,,,,,,
cwbvu,34.29383195726081,144.13,96.33757000000001,66.84074793589122,1.6352700000000162,1.134579893152027,28.21402000000001,19.57539721085132,19.578409999999977,13.58385485325746
dgvwu,36.1644878375938,775.3400000000006,509.5735000000005,65.72258622023888,14.63123999999995,1.8870740578326848,54.322530000000654,7.006284984651973,211.44396999999935,27.27112879510914
diysk,80.34069238098613,1133.479999999999,291.45330999999914,25.713140946465696,68.61899000000075,6.053833327451812,126.85775999999981,11.191883403324269,715.1689300000003,63.094975650210046
dkabn,52.20646603263366,1087.2199999999996,540.6391999999998,49.72675263516124,21.01833999999974,1.9332186677949033,125.21902999999931,11.51735895218993,421.36177000000043,38.75588841264882
dlast,27.962151913313882,1128.6699999999994,815.1343299999996,72.22078464032889,2.064749999999954,0.1829365536427791,73.65094999999917,6.5254635987489005,239.88472000000053,21.253751760922206
dohag,8.464765270065627,39.62,36.476259999999996,92.06527006562342,0.20999999999999996,0.5300353356890459,1.5743700000000014,3.973674911660781,1.5693699999999993,3.9610550227157986
duvox,13.347360181683761,907.0699999999997,793.2849800000004,87.45576195883456,7.284879999999481,0.8031221405183154,32.43368999999906,3.57565458013153,81.35133000000032,8.968583461033916
dxbbt,33.37826540800591,661.0199999999999,451.46370999999965,68.29804090647782,11.080720000000454,1.6763063144837458,22.75077000000006,3.441767268766462,186.80552000000012,28.2601918247557
dxokr,6.2554057116954205,176.48000000000002,169.57193999999998,96.08564143245692,4.131480000000046,2.3410471441523377,0.26834000000003755,0.15205122393474474,6.639719999999997,3.762307343608339
dzsef,10.73412914398816,161.68,144.32846999999995,89.2679799604156,0.0034100000000023556,0.0021091044037619714,0.5271600000000554,0.3260514596734632,16.82437,10.405968579910935
dzxut,35.19858204334367,161.5,117.84291999999998,72.96775232198141,13.188630000000003,8.16633436532508,6.157990000000022,3.8129969040247818,37.49909,23.21925077399381
eauve,28.61210081763355,1258.51,918.3706799999997,72.97285520178622,19.946829999999583,1.584956019419757,143.1574399999998,11.375153157305052,196.98188000000056,15.651991640908738
eazeq,34.03673510065778,100.34000000000002,67.79062999999998,67.56092286226826,1.603089999999996,1.5976579629260472,8.050570000000015,8.023290811241791,24.498800000000006,24.415786326489936
eddje,72.95418981859784,489.51999999999987,140.10340999999988,28.62056912894262,7.708760000000045,1.5747589475404575,95.13123999999985,19.433575747671163,254.2853500000001,51.94585512338621
eguui,50.28741732408955,125.48999999999998,62.89965999999999,50.123244880070125,0.5153399999999948,0.4106622041596899,27.86033999999996,22.20124312694236,34.73000000000002,27.67551199298751
eoyaz,57.538892307692294,211.24999999999997,92.77125000000001,43.915384615384625,3.072159999999994,1.4542769230769204,8.329029999999992,3.942736094674553,110.14971999999997,52.141879289940825
epygx,27.297033779809137,1037.0100000000011,839.3589600000007,80.94029565770819,85.42192999999864,8.237329437517339,17.541329999999988,1.691529493447505,180.10971000000035,17.368174848844287
eqsta,53.920857352478805,954.0999999999999,456.00515,47.79427208887957,16.364050000000237,1.715129441358373,153.0390800000006,16.04015092757579,345.0557699999993,36.16557698354463
erslt,34.35803344715874,114.21000000000001,80.89846,70.83307941511251,5.928769999999999,5.191112862271254,8.038130000000008,7.038026442518174,25.273409999999988,22.128894142369308
eucfa,37.19209060997212,79.02000000000002,50.95291000000001,64.48103011895722,1.322099999999972,1.673120728929349,1.2320899999999888,1.5592128575044146,26.835000000000022,33.959757023538366
euqef,4.697346534653465,25.25,24.27477,96.13770297029703,0.21085000000000004,0.8350495049504952,0.9245999999999981,3.6617821782178144,0.05063000000000173,0.20051485148515535
ezxso,50.25732506299673,257.94999999999993,137.93999999999994,53.47547974413645,9.62877000000005,3.7328048071331854,1.0043799999999834,0.3893700329521162,119.00562,46.13515022291143
fijfi,14.994441957534344,826.5500000000003,724.2266899999998,87.62043312564268,21.61324999999976,2.614875083177031,40.1544400000004,4.858077551267362,62.16887,7.521489323089949
fowhl,20.078615702479453,822.8,692.3800499999996,84.14925255226053,34.78690000000073,4.2278682547400015,34.390620000000496,4.1797058823530016,96.0293299999997,11.67104156538645
fpfvy,36.55757156447289,115.62999999999998,76.47563000000001,66.1382253740379,3.117150000000013,2.6957969385107785,3.3221600000000087,2.873095217504116,35.832209999999975,30.988679408457998
fqrnu,26.660165684615805,171.41000000000003,128.94688000000008,75.22716294265216,3.2350699999999906,1.8873286272679481,12.982559999999976,7.573980514555728,29.480559999999983,17.19885654279212
fuzfh,51.96512357787368,25.490000000000002,13.354090000000001,52.3895253040408,1.1100000000000003,4.354648881914477,11.24375,44.11043546488819,0.8921600000000005,3.50003923107101
fvhrk,6.894661289462977,1125.7399999999998,1058.4193099999995,94.0198722618011,10.295270000000283,0.9145335512640826,47.88466000000021,4.253616287952833,19.43603000000002,1.7265114502460626
fxnwf,41.901839649363424,335.39000000000004,227.43858,67.8131667610841,32.583159999999964,9.715006410447526,34.16878000000014,10.187775425623942,73.78263999999989,21.99905781329195
